run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
176,58.485640431557975,77.02772921014824,2075.0477734360447,1.2140544971610567,0.05564624050207388,9.183676087175655,57,852.7965085498136,4,47.9
177,58.67146506085175,82.46717448126715,2472.2252876503367,1.220347610428263,0.045020532658124154,8.445629176742711,68,1104.3619138741412,6,42.8
178,56.79580761641698,80.78044635142618,2380.692800346969,1.4109463929386377,0.05309842853173418,11.60085175540509,62,856.9914326549915,6,52.4
179,62.32405914596982,72.94983950817503,2228.557321423908,1.2208740484323917,0.044058814684842185,9.65857560263759,73,901.9083341312166,4,40.5
180,60.920011836130854,87.65655561945282,2542.4909972432733,1.0701284529042832,0.07262950210209067,9.350851938077508,55,1016.364129051217,4,58.7
181,57.80183569641801,85.59708351289372,2119.3641240896713,1.2833259836608688,0.04811710445903577,9.159413703524589,57,1065.4295698147582,3,44.9
182,61.79387158933762,82.42003251856802,2206.519405169695,1.4141448978251139,0.07983766042225138,9.561713087681134,61,1129.1929557582819,4,62.0
183,62.4246961734748,78.49177216825365,2180.7650017566543,1.3327254863610674,0.07340346127787385,12.510024947265704,79,1003.2600654580021,5,56.0
184,60.26027211194255,78.5792936289815,2527.949343183329,1.1817442127859579,0.0728443592629408,12.3398828350515,69,1000.6529759462272,4,62.5
185,57.96444602062928,84.12926640541498,2067.2072154631765,1.2751041903192086,0.0680899860081606,10.78169095333803,68,994.7838895345781,4,54.6
186,65.45791577353472,79.9447127568423,2471.245673326098,1.1096019885287003,0.06588803162778173,12.416647701909733,46,872.187195445764,4,52.1
187,64.53364811809932,82.42611203505041,2287.515223577968,1.2441045346723476,0.06441231460111309,10.599808782689164,54,1087.3060146694843,5,49.0
188,62.156741880510054,86.86038449800586,2402.403238297382,1.2913512077465326,0.06579136720641698,8.089390293610116,52,1016.1299796538435,4,53.9
189,57.25324256218173,83.68650473709634,2256.9005667779966,1.152964466444501,0.04860353839011021,9.340380629494067,56,933.2499163102698,4,44.7
190,60.54976918571277,72.31841623747208,2161.2615551279073,1.2074407715025854,0.04783258829903066,9.880981441443481,72,1041.610245893192,4,43.4
191,58.70469561765263,77.13961962782211,2344.9194334328636,1.1323957722325486,0.05499756270539082,10.549444917700143,60,876.5372390831271,5,48.6
192,59.194166375470026,90.8964449107458,2418.2945829699756,1.185426363569693,0.0670233727521723,12.036220804184046,71,949.1939668826152,5,54.4
193,63.74574376691797,70.94139276379421,2528.5772614557386,1.1606156503783618,0.06552391998356255,7.8015327943707895,58,966.226467350365,5,55.5
194,59.47332105745931,83.72460413908136,2218.3145211110846,1.3172982864126426,0.043897992825958264,9.862541524141472,61,1136.7621625981194,3,42.6
195,62.72615832562382,84.62547385501135,2253.416832474537,1.2219731654973442,0.06787756157445313,9.5127151080886,89,1094.7491234246359,3,53.7
196,56.197590253800485,86.4692622061967,2481.453620089297,1.249467065200536,0.04622200527071191,11.443671067161361,42,1038.564887167894,3,48.6
